"contact_[0,10)","contact_[10,20)","contact_[20,30)","contact_[30,40)","contact_[40,50)","contact_[50,60)","contact_[60,70)","contact_[70,80)","contact_[80,90)","contact_90+"
7.64437656861189,1.22116516850097,1.03526453307007,2.37508678890492,1.35241824420368,1.04917089612309,0.583351300255113,0.237526752948877,0.109059724832553,0.0139976139121837
1.19162174436966,10.2986573022321,2.44325335838013,2.29807317121577,2.80380526972926,0.919903159674203,0.368501985493989,0.305455862709988,0.0407513770580937,0.0412775035402676
0.9319906278313,2.25405600507997,6.12130062927015,3.57089284234655,3.51578709299802,2.95295789719383,0.656262538703237,0.313679104401777,0.303429529705418,0.076794174400428
2.01823995670442,2.00121227230817,3.37062101836362,5.4864781756991,4.86305343150372,3.19657474045321,1.33489531295788,0.558356182732098,0.251697033345925,0.0839374580491287
1.04073427804082,2.21112184173886,3.00532328548891,4.40397214448592,5.5863323573356,3.38086725548735,1.49125690965658,1.01541155318671,0.300255382767366,0.0428153336799779
0.88448935780349,0.794738910155263,2.76530744386751,3.17130435763772,3.70378405870411,3.81771275776909,1.43958225294768,0.635617826425891,0.368172591390488,0.0537648039240268
0.646197573222894,0.418322258462959,0.807518642825897,1.74015945129787,2.14663785333082,1.89158237822397,1.96691674303996,0.939251884435878,0.333109980415512,0.0565851889283343
0.337526112299892,0.44481487214123,0.495131122142352,0.93371182445717,1.875029511569,1.07138247230806,1.20487437458103,1.52842898083945,0.322616175792984,0.0442964283486267
0.273942832902955,0.104899597719867,0.846629076498328,0.744012660319107,0.980070932339984,1.09698483112511,0.755349658911577,0.570278289901065,0.989739646310726,0.174401938988909
0.275477188902619,0.832493870023077,1.67880285322992,1.9439904588102,1.09496976433932,1.25511442636088,1.0053082577163,0.61348718750046,1.36643002462546,1.00253763700364
